Position,x,y,,,,,,
1,4,1,,,,,,
2,3,1,,,,,,
3,2,1,,,,,,
4,1,1,,,,,,
5,0,1,,,,,,
6,-1,1,,,,,,
7,-2,1,,,,,,
8,-3,1,,,,,,
9,-4,1,,,,,,
11,4,2.5,,,,,,
12,3,2.5,,,,,,
13,2,2.5,,,,,,
14,4,3.5,,,,,,
15,3,3.5,,,,,,
16,2,3.5,,,,,,
17,4,4.5,,,,,,
18,3,4.5,,,,,,
19,2,4.5,,,,,,
21,4,5.5,,,,,,
22,3,5.5,,,,,,
23,2,5.5,,,,,,
24,4,6.5,,,,,,
25,3,6.5,,,,,,
26,2,6.5,,,,,,
27,4,7.5,,,,,,
28,3,7.5,,,,,,
29,2,7.5,,,,,,
31,1,5.5,,,,,,
32,0,5.5,,,,,,
33,-1,5.5,,,,,,
34,1,6.5,,,,,,
35,0,6.5,,,,,,
36,-1,6.5,,,,,,
37,1,7.5,,,,,,
38,0,7.5,,,,,,
39,-1,7.5,,,,,,
41,-2,5.5,,,,,,
42,-3,5.5,,,,,,
43,-4,5.5,,,,,,
44,-2,6.5,,,,,,
45,-3,6.5,,,,,,
46,-4,6.5,,,,,,
47,-2,7.5,,,,,,
48,-3,7.5,,,,,,
49,-4,7.5,,,,,,
51,-2,2.5,,,,,,
52,-3,2.5,,,,,,
53,-4,2.5,,,,,,
54,-2,3.5,,,,,,
55,-3,3.5,,,,,,
56,-4,3.5,,,,,,
57,-2,4.5,,,,,,
58,-3,4.5,,,,,,
59,-4,4.5,,,,,,
61,1,2.5,,,,,,
62,0,2.5,,,,,,
63,-1,2.5,,,,,,
64,1,3.5,,,,,,
65,0,3.5,,,,,,
66,-1,3.5,,,,,,
67,1,4.5,,,,,,
68,0,4.5,,,,,,
69,-1,4.5,,,,,,
2L,4,8.5,,,,,,
2M,3,8.5,,,,,,
2R,2,8.5,,,,,,
3L,1,8.5,,,,,,
3M,0,8.5,,,,,,
3R,-1,8.5,,,,,,
4L,-2,8.5,,,,,,
4M,-3,8.5,,,,,,
4R,-4,8.5,,,,,,
